Target;Source;Type;
11734848;2164;directed;
13309086;3892;directed;
12338342;6258;directed;
11734848;8150;directed;
911953;26107;directed;
1547151;26107;directed;
11734848;29240;directed;
11734848;6240;directed;
12338342;212879;directed;
11734848;26243;directed;
12338342;76633;directed;
13309086;36391;directed;
83660;39559;directed;
12338342;883111;directed;
11734848;2567545;directed;
11734848;4223913;directed;
5305;535454;directed;
3393810;535454;directed;
